,INJURY_BAD,HELMET_USED,age_bins,SAFE_PEDAL_ACTION,PROTECTIVE_CLOTHING,SAFE_LOCATION,WEATHER_CAT,road_surf_bins,DAYTIME,SPEED_RATING,DRIVER_BLIND,cause_bins,driver_maneuver_bins,physical_bins,hour_bins,SEX
465,0.0,0.0,Adolescent,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,M
468,0.0,1.0,Middle-aged,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
469,0.0,1.0,Elderly,Neutral,1.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Traffic Maneuver,Normal,Morning,F
470,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
476,0.0,1.0,Middle-aged,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Stationary Object Maneuver,Normal,Afternoon,M
480,0.0,0.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Above Average Speed,1.0,Skill,Straight Ahead,Other,Afternoon,M
484,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,0,Above Average Speed,0.0,Skill,Stationary Object Maneuver,Normal,Night,M
485,1.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,0,Below Average Speed,0.0,Skill,Turning Maneuver,Normal,Night,F
503,0.0,0.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Visibility,Turning Maneuver,Normal,Morning,M
505,0.0,0.0,Middle-aged,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,F
510,0.0,0.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,1,Above Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,M
511,1.0,0.0,Adult,Unsafe,0.0,1.0,Clear Weather,Dry,1,Below Average Speed,0.0,Skill,Straight Ahead,Normal,Morning,M
513,0.0,0.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,M
514,0.0,0.0,Elderly,Neutral,0.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Visibility,Traffic Maneuver,Normal,Afternoon,M
518,0.0,1.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Reckless,Straight Ahead,Normal,Morning,M
521,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,F
527,0.0,0.0,Adolescent,Neutral,0.0,1.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Straight Ahead,Normal,Night,F
