,INJURY_BAD,HELMET_USED,age_bins,SAFE_PEDAL_ACTION,PROTECTIVE_CLOTHING,SAFE_LOCATION,WEATHER_CAT,road_surf_bins,DAYTIME,SPEED_RATING,physical_bins,hour_bins,SEX
4638,0.0,0.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Other,Morning,M
4639,0.0,0.0,Adult,Unsafe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4640,0.0,1.0,Adult,Neutral,1.0,0.0,Clear Weather,Dry,1,Below Average Speed,Normal,Afternoon,M
4641,0.0,0.0,Adult,Neutral,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
4642,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,F
4643,0.0,0.0,Elderly,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
4644,0.0,0.0,Adolescent,Neutral,0.0,1.0,Clear Weather,Dry,0,Average Speed,Normal,Afternoon,M
4646,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
4648,0.0,1.0,Elderly,Neutral,1.0,1.0,Clear Weather,Dry,0,Average Speed,Normal,Afternoon,M
4650,0.0,1.0,Middle-aged,Safe,0.0,1.0,Adverse Weather,Snow,0,Average Speed,Normal,Afternoon,M
4653,0.0,1.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
4654,1.0,0.0,Adult,Unsafe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Other,Morning,M
4655,0.0,0.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
4656,1.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,0,Above Average Speed,Normal,Afternoon,M
4657,1.0,1.0,Middle-aged,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Early Morning,M
4659,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Other,Night,M
4660,0.0,0.0,Adult,Neutral,1.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,F
4662,0.0,0.0,Elderly,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
4663,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
4664,0.0,1.0,Adult,Neutral,0.0,0.0,Adverse Weather,Wet,1,Average Speed,Normal,Morning,M
4665,0.0,0.0,Adult,Neutral,0.0,1.0,Clear Weather,Dry,0,Below Average Speed,Normal,Afternoon,M
4669,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Normal,Afternoon,M
4671,0.0,1.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
4674,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Afternoon,M
4675,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,F
4676,0.0,1.0,Middle-aged,Safe,0.0,1.0,Clear Weather,Dry,0,Average Speed,Other,Afternoon,M
4678,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4679,0.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4680,0.0,0.0,Middle-aged,Safe,0.0,1.0,Clear Weather,Dry,0,Average Speed,Normal,Afternoon,M
4683,1.0,0.0,Middle-aged,Unsafe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Other,Afternoon,M
4686,0.0,1.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
4687,0.0,0.0,Adolescent,Safe,1.0,0.0,Adverse Weather,Snow,1,Average Speed,Other,Afternoon,M
4688,0.0,0.0,Middle-aged,Unsafe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4689,0.0,1.0,Middle-aged,Neutral,1.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Afternoon,M
4690,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
4696,0.0,0.0,Adult,Neutral,1.0,1.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
4697,0.0,1.0,Adolescent,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
4698,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
4699,0.0,0.0,Elderly,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Other,Morning,F
4700,1.0,0.0,Middle-aged,Neutral,0.0,1.0,Clear Weather,Wet,1,Average Speed,Normal,Afternoon,M
4704,0.0,1.0,Adult,Safe,1.0,1.0,Clear Weather,Wet,0,Average Speed,Normal,Afternoon,M
4708,0.0,0.0,Adult,Neutral,0.0,1.0,Adverse Weather,Wet,0,Average Speed,Normal,Afternoon,M
4709,1.0,1.0,Elderly,Safe,0.0,0.0,Adverse Weather,Snow,0,Average Speed,Normal,Afternoon,X
4711,0.0,0.0,Adult,Safe,0.0,0.0,Adverse Weather,Wet,0,Below Average Speed,Normal,Afternoon,M
4712,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Other,Afternoon,M
4715,0.0,1.0,Adult,Safe,0.0,1.0,Adverse Weather,Wet,1,Average Speed,Normal,Morning,F
4717,0.0,1.0,Adult,Safe,1.0,1.0,Adverse Weather,Wet,1,Average Speed,Normal,Afternoon,F
4718,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Afternoon,M
4719,0.0,0.0,Elderly,Unsafe,0.0,0.0,Adverse Weather,Wet,0,Average Speed,Normal,Afternoon,M
4720,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Wet,1,Average Speed,Normal,Morning,M
4721,0.0,1.0,Middle-aged,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
4722,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Wet,0,Average Speed,Normal,Afternoon,M
4723,0.0,0.0,Adolescent,Unsafe,1.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Afternoon,M
4724,0.0,0.0,Adult,Neutral,1.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4725,0.0,0.0,Adolescent,Safe,0.0,0.0,Adverse Weather,Wet,0,Average Speed,Normal,Afternoon,M
4727,0.0,0.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
4730,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Snow,0,Average Speed,Normal,Afternoon,M
4731,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,F
4733,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Snow,0,Average Speed,Normal,Afternoon,M
4734,1.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Afternoon,M
4735,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Wet,1,Below Average Speed,Normal,Morning,M
4736,0.0,0.0,Middle-aged,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
4737,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Wet,1,Average Speed,Normal,Morning,F
4741,0.0,1.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Afternoon,M
4743,0.0,0.0,Adolescent,Safe,0.0,1.0,Adverse Weather,Wet,1,Below Average Speed,Normal,Morning,M
4745,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Above Average Speed,Normal,Afternoon,M
4746,0.0,0.0,Adolescent,Neutral,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Afternoon,M
4748,0.0,0.0,Middle-aged,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Afternoon,M
4749,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
4750,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,F
4751,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
4753,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Afternoon,M
4754,0.0,1.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4756,0.0,1.0,Elderly,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Afternoon,M
4757,0.0,0.0,Adult,Neutral,1.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
4758,0.0,0.0,Middle-aged,Unsafe,0.0,0.0,Clear Weather,Dry,1,Above Average Speed,Normal,Afternoon,M
4759,0.0,0.0,Elderly,Safe,1.0,1.0,Clear Weather,Snow,0,Average Speed,Normal,Afternoon,M
4760,0.0,0.0,Elderly,Neutral,0.0,0.0,Adverse Weather,Wet,0,Average Speed,Normal,Night,M
4761,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Wet,0,Average Speed,Normal,Night,M
4762,1.0,0.0,Adolescent,Safe,0.0,0.0,Adverse Weather,Snow,1,Average Speed,Normal,Afternoon,M
4763,0.0,1.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
4765,0.0,0.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4766,0.0,0.0,Adult,Unsafe,1.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
4767,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Other,Afternoon,M
4769,1.0,1.0,Adult,Safe,1.0,0.0,Adverse Weather,Wet,0,Average Speed,Normal,Night,F
4770,1.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4771,0.0,0.0,Middle-aged,Neutral,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4772,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Snow,1,Average Speed,Normal,Afternoon,M
4777,0.0,0.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Other,Afternoon,M
4778,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Afternoon,M
4779,0.0,0.0,Adolescent,Unsafe,0.0,0.0,Adverse Weather,Wet,0,Average Speed,Normal,Afternoon,M
4781,1.0,1.0,Adult,Safe,0.0,0.0,Adverse Weather,Snow,0,Average Speed,Normal,Night,M
4784,0.0,1.0,Adult,Neutral,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
4788,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4789,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Afternoon,M
4796,0.0,1.0,Middle-aged,Neutral,1.0,1.0,Clear Weather,Dry,1,Above Average Speed,Normal,Morning,M
4797,1.0,1.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
4800,0.0,0.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Below Average Speed,Normal,Afternoon,M
4801,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4802,1.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Above Average Speed,Normal,Afternoon,M
4803,1.0,0.0,Middle-aged,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
4804,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4806,0.0,0.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Impaired,Morning,M
4808,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4809,1.0,0.0,Adult,Neutral,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
4810,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Above Average Speed,Normal,Afternoon,M
4811,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Impaired,Early Morning,M
4813,0.0,0.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Normal,Afternoon,M
4814,0.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Below Average Speed,Normal,Morning,F
4815,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4816,0.0,0.0,Adolescent,Neutral,1.0,0.0,Adverse Weather,Wet,0,Average Speed,Normal,Night,M
4818,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Wet,0,Average Speed,Normal,Early Morning,M
4828,0.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
4830,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Shaken,Night,M
4832,0.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4834,0.0,0.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Afternoon,M
4835,0.0,0.0,Elderly,Unsafe,0.0,0.0,Adverse Weather,Wet,1,Average Speed,Other,Afternoon,M
4837,1.0,1.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,F
4838,1.0,1.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
4839,0.0,0.0,Middle-aged,Safe,1.0,0.0,Adverse Weather,Wet,0,Average Speed,Normal,Night,M
4840,0.0,1.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,1,Below Average Speed,Normal,Morning,F
4843,0.0,1.0,Adult,Neutral,1.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,F
4845,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4847,0.0,0.0,Adult,Neutral,1.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Early Morning,M
4848,0.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
4849,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Night,M
4850,0.0,0.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4851,0.0,0.0,Adolescent,Neutral,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,F
4853,0.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4854,0.0,0.0,Adolescent,Safe,0.0,1.0,Clear Weather,Dry,1,Above Average Speed,Normal,Afternoon,M
4855,0.0,1.0,Middle-aged,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4856,1.0,0.0,Adult,Neutral,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4859,0.0,0.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4862,0.0,0.0,Middle-aged,Unsafe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Shaken,Early Morning,M
4863,0.0,0.0,Elderly,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
4864,0.0,0.0,Adolescent,Neutral,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4865,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,F
4866,1.0,0.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,F
4867,0.0,0.0,Middle-aged,Unsafe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
4869,1.0,0.0,Adolescent,Neutral,0.0,1.0,Clear Weather,Dry,0,Average Speed,Shaken,Night,M
4870,0.0,0.0,Adolescent,Neutral,0.0,0.0,Clear Weather,Dry,0,Below Average Speed,Normal,Night,M
4871,0.0,1.0,Middle-aged,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
4873,0.0,0.0,Middle-aged,Neutral,0.0,1.0,Clear Weather,Dry,0,Average Speed,Other,Night,M
4875,0.0,0.0,Middle-aged,Safe,0.0,0.0,Adverse Weather,Wet,1,Average Speed,Normal,Morning,M
4876,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4877,0.0,0.0,Middle-aged,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
4878,0.0,1.0,Middle-aged,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
4879,0.0,0.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Afternoon,M
4881,0.0,0.0,Adolescent,Unsafe,0.0,0.0,Adverse Weather,Wet,0,Average Speed,Other,Night,M
4883,0.0,0.0,Adolescent,Unsafe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4884,0.0,1.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4886,0.0,0.0,Adult,Neutral,0.0,1.0,Clear Weather,Dry,0,Below Average Speed,Normal,Night,M
4887,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Other,Afternoon,M
4888,0.0,0.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4892,1.0,0.0,Adult,Safe,0.0,0.0,Adverse Weather,Wet,1,Average Speed,Other,Morning,M
4896,0.0,0.0,Middle-aged,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4898,0.0,0.0,Elderly,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
4900,1.0,0.0,Adult,Safe,0.0,0.0,Adverse Weather,Wet,0,Average Speed,Other,Night,M
4901,1.0,0.0,Adult,Safe,0.0,0.0,Adverse Weather,Wet,0,Average Speed,Normal,Night,F
4905,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
4906,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
4907,1.0,0.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,0,Below Average Speed,Shaken,Night,M
4908,0.0,1.0,Middle-aged,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Night,M
4909,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Morning,M
4910,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
4911,0.0,0.0,Middle-aged,Safe,0.0,1.0,Adverse Weather,Wet,1,Average Speed,Other,Morning,M
4913,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Normal,Morning,M
4914,0.0,0.0,Adolescent,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
4915,0.0,0.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
4916,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4918,0.0,0.0,Middle-aged,Safe,0.0,1.0,Clear Weather,Dry,0,Average Speed,Other,Night,M
4919,0.0,1.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4921,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
4922,0.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
4924,0.0,0.0,Adult,Unsafe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
4925,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Normal,Morning,M
4926,0.0,1.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,F
4927,0.0,1.0,Middle-aged,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,F
4928,0.0,1.0,Adult,Neutral,1.0,0.0,Clear Weather,Dry,1,Above Average Speed,Other,Afternoon,M
4931,0.0,0.0,Adult,Safe,1.0,1.0,Adverse Weather,Wet,1,Below Average Speed,Normal,Afternoon,F
4935,1.0,0.0,Adolescent,Neutral,0.0,0.0,Adverse Weather,Wet,0,Average Speed,Normal,Afternoon,M
4936,0.0,0.0,Adolescent,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
4938,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
4940,0.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
4941,0.0,0.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4942,0.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
4944,0.0,0.0,Adolescent,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Afternoon,M
4945,0.0,1.0,Adult,Safe,0.0,0.0,Adverse Weather,Wet,0,Average Speed,Normal,Night,M
4948,1.0,0.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,0,Above Average Speed,Impaired,Early Morning,M
4949,0.0,1.0,Middle-aged,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4951,0.0,0.0,Adolescent,Neutral,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Normal,Afternoon,M
4953,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
4954,0.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4955,0.0,0.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4956,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
4957,1.0,0.0,Middle-aged,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
4960,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Below Average Speed,Normal,Morning,M
4961,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4962,0.0,1.0,Elderly,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4963,0.0,0.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
4965,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Afternoon,M
4966,0.0,1.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
4967,1.0,0.0,Adolescent,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4968,0.0,0.0,Elderly,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4970,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
4976,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Normal,Morning,M
4978,0.0,0.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
4979,0.0,0.0,Adolescent,Neutral,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4980,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4981,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Above Average Speed,Normal,Afternoon,M
4982,0.0,0.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4983,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Impaired,Afternoon,M
4985,0.0,0.0,Adolescent,Neutral,0.0,0.0,Clear Weather,Dry,0,Below Average Speed,Normal,Night,M
4988,0.0,0.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Normal,Morning,M
4989,0.0,0.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,1,Above Average Speed,Normal,Morning,M
4990,0.0,0.0,Adolescent,Neutral,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
4991,0.0,0.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Other,Morning,M
4993,0.0,0.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
4994,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
4996,0.0,0.0,Adolescent,Safe,1.0,0.0,Clear Weather,Dry,1,Below Average Speed,Shaken,Morning,M
4999,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,F
5002,0.0,0.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
5003,0.0,0.0,Adult,Neutral,1.0,0.0,Clear Weather,Dry,1,Below Average Speed,Normal,Afternoon,F
5005,0.0,1.0,Elderly,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
5006,0.0,0.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
5008,0.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Below Average Speed,Normal,Afternoon,M
5010,1.0,1.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Shaken,Afternoon,M
5012,1.0,1.0,Middle-aged,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Shaken,Afternoon,M
5014,0.0,1.0,Middle-aged,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
5015,0.0,0.0,Adolescent,Unsafe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
5018,0.0,0.0,Middle-aged,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
5019,0.0,0.0,Adult,Unsafe,0.0,0.0,Clear Weather,Wet,1,Average Speed,Normal,Morning,M
5020,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Wet,1,Average Speed,Normal,Morning,F
5023,0.0,0.0,Adult,Neutral,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
5024,0.0,0.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Night,M
