,INJURY_BAD,HELMET_USED,age_bins,SAFE_PEDAL_ACTION,PROTECTIVE_CLOTHING,SAFE_LOCATION,WEATHER_CAT,road_surf_bins,DAYTIME,SPEED_RATING,physical_bins,hour_bins,SEX
187,0.0,1.0,Elderly,Safe,0.0,1.0,Clear Weather,Dry,1,Above Average Speed,Normal,Morning,M
188,1.0,0.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
189,0.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
190,0.0,0.0,Middle-aged,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Impaired,Afternoon,M
192,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
193,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
194,0.0,0.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Other,Afternoon,M
196,0.0,1.0,Middle-aged,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Other,Afternoon,M
197,0.0,1.0,Middle-aged,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
198,0.0,0.0,Adolescent,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
199,0.0,1.0,Adolescent,Unsafe,0.0,1.0,Clear Weather,Dry,1,Below Average Speed,Other,Morning,M
200,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Other,Morning,M
201,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
202,0.0,1.0,Middle-aged,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
207,0.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
208,1.0,0.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Normal,Afternoon,M
210,0.0,1.0,Adolescent,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
211,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
212,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
213,1.0,1.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
215,0.0,0.0,Adolescent,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
217,0.0,1.0,Adolescent,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Night,F
218,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,0,Above Average Speed,Impaired,Night,M
219,0.0,0.0,Middle-aged,Unsafe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Other,Afternoon,M
220,0.0,0.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
222,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
223,1.0,1.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Normal,Afternoon,M
